,respop72018,CITY,STATE
438,185877,worcester,MA
439,48323,saginaw,MI
440,94333,dearborn,MI
441,59461,royaloak,MI
442,59772,pontiac,MI
443,60951,novi,MI
444,121890,annarbor,MI
445,672662,detroit,MI
446,74696,rochesterhills,MI
447,51247,battlecreek,MI
448,75820,wy,MI
449,55616,dearbornheights,MI
450,84272,troy,MI
451,95943,flint,MI
452,76545,kalamazoo,MI
453,59409,st.clairshores,MI
454,132964,sterlingheights,MI
455,200217,grandrapids,MI
456,118427,lansing,MI
457,93971,livonia,MI
458,81720,westland,MI
459,61148,taylor,MI
460,51868,kentwood,MI
461,134587,warren,MI
462,81093,farmingtonhills,MI
463,73158,southfield,MI
464,307695,st.paul,MN
465,80610,brooklynpark,MN
466,54121,applevalley,MN
467,425403,minneapolis,MN
468,68043,st.cloud,MN
469,62527,coonrapids,MN
470,116961,rochester,MN
471,79450,plymouth,MN
472,85578,bloomington,MN
473,61203,burnsville,MN
474,52490,edina,MN
475,64334,edenprairie,MN
476,65212,blaine,MN
477,71306,woodbury,MN
478,65877,lakeville,MN
479,66527,eagan,MN
480,85884,duluth,MN
481,53953,minnetonka,MN
482,71807,maplegrove,MN
483,54944,southaven,MS
484,164422,jackson,MS
485,71870,gulfport,MS
486,168122,springfield,MO
487,123180,columbia,MO
488,88472,o'fallon,MO
489,70764,st.charles,MO
490,75959,st.joseph,MO
491,116925,independence,MO
492,51272,florissant,MO
493,302838,st.louis,MO
494,50657,joplin,MO
495,55104,bluesprings,MO
496,57127,st.peters,MO
497,491918,kscity,MO
498,98461,lee'ssummit,MO
499,109550,billings,MT
500,74428,missoula,MT
501,58701,greatfalls,MT
502,287401,lincoln,NE
503,468262,omaha,NE
504,53627,bellevue,NE
505,51478,grandisland,NE
506,55414,carsoncity,NV
507,644644,lasvegas,NV
508,245949,northlasvegas,NV
509,104246,sparks,NV
510,310390,henderson,NV
511,250998,reno,NV
512,112525,manchester,NH
513,89246,nashua,NH
514,51928,perthamboy,NJ
515,50693,plainfield,NJ
516,145627,paterson,NJ
517,73973,camden,NJ
518,69948,passaic,NJ
519,265549,jerseycity,NJ
520,68520,unioncity,NJ
521,64457,eastorange,NJ
522,282090,newark,NJ
523,83974,trenton,NJ
524,56100,newbrunswick,NJ
525,65083,bayonne,NJ
526,85273,clifton,NJ
527,128885,elizabeth,NJ
528,53455,hoboken,NJ
529,52990,westnytown,NJ
530,59966,vineland,NJ
531,84612,santafe,NM
532,98023,riorancho,NM
533,560218,albuquerque,NM
534,102926,lascruces,NM
535,256304,buffalo,NY
536,206284,rochester,NY
537,67593,mountvernon,NY
538,58111,whiteplains,NY
539,199663,yonkers,NY
540,60100,utica,NY
541,97279,albany,NY
542,78742,newrochelle,NY
543,48144,niagarafalls,NY
544,142749,syracuse,NY
545,55255,hempsteadvillage,NY
546,65575,schenectady,NY
547,49374,troy,NY
548,8398748,newyork,NY
549,872498,charlotte,NC
550,57098,huntersvilletown,NC
551,469298,raleigh,NC
552,168160,carytown,NC
553,112316,highpoint,NC
554,60988,chapelhilltown,NC
555,93137,greenville,NC
556,209468,fayetteville,NC
557,122607,wilmington,NC
558,94130,concord,NC
559,77024,gastonia,NC
560,72896,jacksonville,NC
561,92452,asheville,NC
562,246328,winston-salem,NC
563,274291,durham,NC
564,53852,apextown,NC
565,294722,greensboro,NC
566,54242,rockymount,NC
567,53748,burlington,NC
568,56948,grandforks,ND
569,73112,bismarck,ND
570,124844,fargo,ND
571,64958,youngstown,OH
572,59282,springfield,OH
573,274975,toledo,OH
574,64028,lorain,OH
575,55103,kettering,OH
576,50029,newark,OH
577,53881,elyria,OH
578,70458,canton,OH
579,140640,dayton,OH
580,78751,parma,OH
581,892533,columbus,OH
582,383793,cleveland,OH
583,62174,hamilton,OH
584,198006,akron,OH
585,302605,cincinnati,OH
586,50100,lakewood,OH
587,92859,lawton,OK
588,62103,moore,OK
589,109171,brokenarrow,OK
590,49585,enid,OK
591,649021,oklahoma,OK
592,400669,tulsa,OK
593,57325,midwestcity,OK
594,93127,edmond,OK
595,50391,stillwater,OK
596,123471,norman,OK
597,98962,beaverton,OR
598,54758,tigard,OR
599,82347,medford,OR
600,171245,eugene,OR
601,97590,bend,OR
602,54453,albany,OR
603,58641,corvallis,OR
604,110158,gresham,OR
605,108389,hillsboro,OR
606,62979,springfield,OR
607,653115,portland,OR
608,173442,salem,OR
609,75790,bethlehem,PA
610,77182,scranton,PA
611,121433,allentown,PA
612,88495,reading,PA
613,1584138,philadelphia,PA
614,301048,pittsburgh,PA
615,59420,lancaster,PA
616,96471,erie,PA
617,80847,warwick,RI
618,179335,providence,RI
619,71847,pawtucket,RI
620,81274,cranston,RI
621,51692,summervilletown,SC
622,68563,greenville,SC
623,136208,charleston,SC
624,89338,mountpleasanttown,SC
625,133451,columbia,SC
626,113237,northcharleston,SC
627,74309,rockhill,SC
628,181883,siouxfalls,SD
629,75443,rapidcity,SD
630,187500,knoxville,TN
631,180557,chattanooga,TN
632,66903,jackson,TN
633,141344,murfreesboro,TN
634,54076,kingsport,TN
635,59315,bartlett,TN
636,50616,colliervilletown,TN
637,66778,johnsoncity,TN
638,57576,hendersonville,TN
639,50775,smyrnatown,TN
640,156794,clarksville,TN
641,669053,nashville,TN
642,650618,memphis,TN
643,80914,franklin,TN
644,194614,grandprairie,TX
645,682669,elpaso,TX
646,57346,euless,TX
647,85445,bryan,TX
648,105729,tyler,TX
649,77329,flowermoundtown,TX
650,895008,fortworth,TX
651,136879,carrollton,TX
652,116218,collegestation,TX
653,98665,edinburg,TX
654,242242,irving,TX
655,2325502,houston,TX
656,188170,frisco,TX
657,118600,sugarland,TX
658,138183,waco,TX
659,53523,desoto,TX
660,50457,galveston,TX
661,65436,harlingen,TX
662,87654,conroe,TX
663,326554,corpuschristi,TX
664,138541,denton,TX
665,242507,garland,TX
666,1345047,dallas,TX
667,74180,georgetown,TX
668,183392,brownsville,TX
669,53976,grapevine,TX
670,76256,temple,TX
671,67015,victoria,TX
672,122999,abilene,TX
673,51585,wylie,TX
674,199924,amarillo,TX
675,143433,mcallen,TX
676,191645,mckinney,TX
677,142816,mesquite,TX
678,142344,midland,TX
679,84827,mission,TX
680,74705,mocity,TX
681,84612,newbraunfels,TX
682,63509,sanmarcos,TX
683,70836,northrichlandhills,TX
684,120568,odessa,TX
685,1532233,sanantonio,TX
686,100215,sanangelo,TX
687,103383,allen,TX
688,153219,pasadena,TX
689,66285,rowlett,TX
690,128739,roundrock,TX
691,122149,pearland,TX
692,64431,pflugerville,TX
